Date,Open,High,Low,Close,Volume
2020-07-31,1562.3,1590.62,1496.06,1496.06,24873760600
2020-08-31,1510.23,1636.57,1508.13,1618.18,23100226300
2020-09-30,1613.64,1665.9,1593.89,1625.49,24240817000
2020-10-31,1625.49,1660.49,1577.45,1579.33,21687122300
2020-11-30,1592.16,1792.97,1591.49,1754.92,27197655600
2020-12-31,1765.55,1819.46,1751.63,1804.68,24226655200
2021-01-31,1810.45,1885.93,1776.6,1808.78,23574210700
2021-02-28,1806.63,1974.99,1806.63,1864.49,24982083100
2021-03-31,1888.61,2013.71,1859.88,1954,33090448500
2021-04-30,1971.78,1989.09,1879.68,1898.24,22419765400
2021-05-31,1919.1,1955.51,1845.72,1922.98,22752341000
2021-06-30,1930.74,1983.13,1890.15,1943.57,22800448500
2021-07-31,1949.2,1973.35,1881.01,1901.08,20124937800
2021-08-31,1917.65,1970.38,1877.38,1960.7,21387745800
2021-09-30,1965.74,2120.18,1965.54,2030.16,26287016400
2021-10-31,2010.4,2041.71,1927.66,2001.18,26675247100
2021-11-30,2027.27,2062.81,1928.35,1928.35,25873522500
2021-12-31,1930.88,2014.43,1914.93,1992.33,22964564700
2022-01-31,2015.61,2042,1835.26,1895.93,23721496500
2022-02-28,1907.08,1969.73,1843.38,1886.93,23346659600
2022-03-31,1903.34,1994.32,1755.14,1946.4,31099831200
2022-04-30,1933.04,1967.68,1842.78,1899.62,23221989500
2022-05-31,1899.92,1926.18,1826.51,1912.67,26932555200
2022-06-30,1916.9,1978.39,1808.77,1870.82,27950706200
2022-07-31,1875.59,1958.64,1836.73,1940.31,22782097900
2022-08-31,1943.06,2006.99,1923.52,1963.16,25055537500
2022-09-30,1945.7,1987.55,1830.55,1835.94,24008691000
2022-10-31,1827.32,1930.47,1815.3,1929.43,24735307100
2022-11-30,1934.45,2023.39,1907.61,1985.57,26485644700
2022-12-31,1996.72,2001.06,1880.88,1891.71,25490176200
2023-01-31,1879.19,1991.14,1862.27,1975.27,22162378100
2023-02-28,1984.12,2003.46,1960.72,1993.28,22849049000
2023-03-31,1989.38,2071.6,1910.6,2003.5,29196466700
2023-04-30,2015.05,2057.48,1958.82,2057.48,21735919700
2023-05-31,2070.37,2188.66,2068.04,2130.63,28538288700
2023-06-30,2130.77,2312.07,2127.83,2288.6,33249960800
2023-07-31,2307.59,2330.12,2215.76,2322.56,29737263000
2023-08-31,2327,2337.91,2227.62,2332,31690451100
2023-09-30,2328.6,2438.02,2315.83,2323.39,31480897400
2023-10-31,2338.51,2355.98,2196.95,2253.72,33015540500
2023-11-30,2285.84,2404.99,2284.32,2374.93,33588546000
2023-12-31,2385.23,2389.36,2295.51,2366.39,32626199400
2024-01-31,2359.28,2565.89,2335.58,2551.1,32604820400
2024-02-29,2533.1,2692.3,2527.17,2675.73,38205402500
2024-03-31,2676.97,2820.45,2617.9,2768.62,40449217100
2024-04-30,2782.19,2784.3,2598.45,2743.17,36996387700
2024-05-31,2727.92,2740,2713.42,2728.53,1736064800
